"object_id","lat","lon","source","riqueza","Chl","POC","gamma","SST","SSS","bbp"
"D20211221T030717_IFCB107",-49.2942,-63.8563,"bloom",22,12.9396383827209,465.547682645776,0.187453106154773,11.2808166666667,33.2331083333333,0.00856449619061123
"D20211221T033143_IFCB107",-49.2769,-63.8942,"bloom",21,17.0745692104826,509.769770622132,0.0739848477997911,11.3290428571429,33.2324619047619,0.0081725258286258
"D20211221T035609_IFCB107",-49.2605,-63.9341,"bloom",17,19.6760393948804,569.201519348353,0.028656863644877,11.3662555555556,33.2307583333333,0.00916290829704644
"D20211221T024252_IFCB107",-49.265,-63.8612,"bloom",21,15.1459181799527,509.022139406745,0.132955899244716,11.35285,33.23866875,0.00861699419180081
"D20211221T021827_IFCB107",-49.2334,-63.8617,"bloom",24,16.719281847293,593.460885346665,0.135641017557044,11.3703071428572,33.2417880952381,0.0106736009454677
"D20211221T055820_IFCB107",-49.1848,-63.9959,"bloom",18,12.5270053794917,615.911683503918,0.0365020202689567,11.3848333333333,33.2795666666667,0.00787365119474134
"D20211221T001448_IFCB107",-49.0726,-63.8431,"bloom",26,17.7053717306416,582.9304317112,0.0155244734765729,11.3658666666667,33.2681666666667,0.00865896170954928
"D20211220T235023_IFCB107",-49.0393,-63.855,"bloom",32,15.7202714901821,543.456868569721,0.0367934488950984,11.3596611111111,33.2773555555556,0.00823098480936528
"D20211220T232557_IFCB107",-49.0005,-63.8747,"bloom",21,12.1765436394119,462.212440298808,0.0808208002989585,11.4044833333333,33.2897458333333,0.00642160162813028
"D20211220T230131_IFCB107",-48.9719,-63.8981,"bloom",24,4.74581263166949,256.216005458056,0.272739489528916,11.3514416666667,33.3052416666667,0.00307930602111382
"D20211220T223706_IFCB107",-48.9389,-63.9233,"bloom",25,2.71900274498692,193.367377011832,0.431171694278862,11.3843238095238,33.3209095238095,0.00202906477105312
"D20211220T221240_IFCB107",-48.8978,-63.9475,"bloom",24,1.99711050595084,171.979799600365,0.488971304737167,11.39339,33.3388733333333,0.00157977409205413
"D20211220T214814_IFCB107",-48.8601,-63.9638,"bloom",28,2.43093440408066,218.929609804099,0.501611055437977,11.4730666666667,33.3707733333333,0.00193207869365408
"D20211220T212349_IFCB107",-48.8219,-63.9805,"bloom",26,2.76637917050299,251.891347563986,0.50458610599533,11.5460277777778,33.3942166666667,0.00222443365710567
"D20211220T205923_IFCB107",-48.7818,-63.9893,"bloom",30,4.86755676627851,337.46188502916,0.339900969177282,11.6064694444444,33.4045583333333,0.00239506268924228
"D20211220T203457_IFCB107",-48.737,-63.9881,"bloom",19,5.33318349858835,349.970906388888,0.425034668166847,11.6271888888889,33.4028694444444,0.0024185739982566
"D20211220T201032_IFCB107",-48.6915,-63.9815,"bloom",19,6.29272076325572,400.976782366718,0.174549554798938,11.6945833333333,33.4052833333333,0.00227994006143416
