"object_id","lat","lon","source","riqueza"
"D20211218T225636_IFCB107",-45.6659,-59.7381,"talud",19
"D20211218T232100_IFCB107",-45.694,-59.7771,"talud",15
"D20211218T234525_IFCB107",-45.7196,-59.8094,"talud",19
"D20211219T000949_IFCB107",-45.7459,-59.8427,"talud",16
"D20211219T003412_IFCB107",-45.7693,-59.8751,"talud",19
"D20211219T005834_IFCB107",-45.7903,-59.9047,"talud",16
"D20211219T012257_IFCB107",-45.8102,-59.9422,"talud",16
"D20211219T014719_IFCB107",-45.8272,-59.9814,"talud",18
"D20211219T021141_IFCB107",-45.8447,-60.0219,"talud",15
"D20211219T023604_IFCB107",-45.8629,-60.0607,"talud",16
"D20211219T030028_IFCB107",-45.883,-60.0991,"talud",16
"D20211219T032452_IFCB107",-45.9052,-60.1344,"talud",14
"D20211219T034916_IFCB107",-45.9297,-60.1655,"talud",13
"D20211219T041341_IFCB107",-45.9525,-60.1953,"talud",14
"D20211219T043805_IFCB107",-45.967,-60.2358,"talud",15
"D20211219T050230_IFCB107",-45.9781,-60.2921,"talud",17
"D20211219T052654_IFCB107",-45.9878,-60.3505,"talud",12
"D20211219T055118_IFCB107",-45.993,-60.4077,"talud",10
"D20211219T061542_IFCB107",-46.005,-60.4352,"talud",12
"D20211219T064007_IFCB107",-46.0259,-60.479,"talud",11
"D20211219T070433_IFCB107",-46.0434,-60.5247,"talud",22
"D20211219T072858_IFCB107",-46.0684,-60.5686,"talud",19
"D20211219T075324_IFCB107",-46.0906,-60.6188,"talud",17
"D20211219T084408_IFCB107",-46.1326,-60.7279,"talud",14
"D20211219T090834_IFCB107",-46.1523,-60.78,"talud",16
"D20211219T093300_IFCB107",-46.1727,-60.8328,"talud",14
"D20211219T095726_IFCB107",-46.1936,-60.8858,"talud",15
"D20211219T102152_IFCB107",-46.2149,-60.9389,"talud",13
"D20211219T104617_IFCB107",-46.2358,-60.9928,"talud",10
"D20211219T111042_IFCB107",-46.2565,-61.0468,"talud",11
"D20211219T113507_IFCB107",-46.2794,-61.0976,"talud",16
"D20211219T115932_IFCB107",-46.3029,-61.1455,"talud",16
"D20211219T122357_IFCB107",-46.3258,-61.1921,"talud",12
"D20211219T124822_IFCB107",-46.3482,-61.2376,"talud",12
"D20211219T131247_IFCB107",-46.366,-61.2778,"talud",13
"D20211219T133710_IFCB107",-46.3814,-61.2752,"talud",14
"D20211219T140134_IFCB107",-46.3813,-61.3219,"talud",16
"D20211219T142559_IFCB107",-46.3853,-61.382,"talud",13
"D20211219T145023_IFCB107",-46.3889,-61.43,"talud",15
"D20211219T151447_IFCB107",-46.3877,-61.4764,"talud",14
"D20211219T153913_IFCB107",-46.3813,-61.5268,"talud",13
"D20211219T160337_IFCB107",-46.375,-61.5998,"talud",16
"D20211219T162801_IFCB107",-46.3617,-61.6828,"talud",11
"D20211219T165225_IFCB107",-46.3521,-61.7408,"talud",14
"D20211219T171650_IFCB107",-46.3432,-61.7857,"talud",17
"D20211219T174114_IFCB107",-46.3465,-61.8499,"talud",20
"D20211219T180539_IFCB107",-46.3486,-61.9075,"talud",17
"D20211219T183003_IFCB107",-46.3533,-61.9624,"talud",15
"D20211219T185428_IFCB107",-46.3541,-62.0155,"talud",17
"D20211219T191852_IFCB107",-46.368,-62.0828,"talud",16
"D20211219T194317_IFCB107",-46.3817,-62.1437,"talud",19
"D20211219T200742_IFCB107",-46.3982,-62.2014,"talud",15
"D20211219T203206_IFCB107",-46.4206,-62.2585,"talud",16
"D20211219T205631_IFCB107",-46.4462,-62.3143,"talud",20
"D20211219T212056_IFCB107",-46.4743,-62.3735,"talud",15
"D20211219T214521_IFCB107",-46.4972,-62.4234,"talud",15
"D20211219T220946_IFCB107",-46.5146,-62.4605,"talud",16
"D20211219T223411_IFCB107",-46.5283,-62.4952,"talud",18
"D20211220T160614_IFCB107",-48.2202,-63.7143,"bloom",18
"D20211220T163040_IFCB107",-48.2656,-63.7595,"bloom",17
"D20211220T165506_IFCB107",-48.3151,-63.793,"bloom",21
"D20211220T171932_IFCB107",-48.3615,-63.8213,"bloom",17
"D20211220T174358_IFCB107",-48.406,-63.8447,"bloom",19
"D20211220T180824_IFCB107",-48.4491,-63.8712,"bloom",20
"D20211220T183250_IFCB107",-48.4963,-63.9004,"bloom",22
"D20211220T185716_IFCB107",-48.5454,-63.9257,"bloom",17
"D20211220T192140_IFCB107",-48.5959,-63.9477,"bloom",18
"D20211220T194606_IFCB107",-48.6445,-63.9661,"bloom",17
"D20211220T201032_IFCB107",-48.6915,-63.9815,"bloom",19
"D20211220T203457_IFCB107",-48.737,-63.9881,"bloom",19
"D20211220T205923_IFCB107",-48.7818,-63.9893,"bloom",30
"D20211220T212349_IFCB107",-48.8219,-63.9805,"bloom",26
"D20211220T214814_IFCB107",-48.8601,-63.9638,"bloom",28
"D20211220T221240_IFCB107",-48.8978,-63.9475,"bloom",24
"D20211220T223706_IFCB107",-48.9389,-63.9233,"bloom",25
"D20211220T230131_IFCB107",-48.9719,-63.8981,"bloom",24
"D20211220T232557_IFCB107",-49.0005,-63.8747,"bloom",21
"D20211220T235023_IFCB107",-49.0393,-63.855,"bloom",32
"D20211221T001448_IFCB107",-49.0726,-63.8431,"bloom",26
"D20211221T003913_IFCB107",-49.1137,-63.8206,"bloom",23
"D20211221T010339_IFCB107",-49.146,-63.8363,"bloom",18
"D20211221T012805_IFCB107",-49.1744,-63.8475,"bloom",28
"D20211221T021827_IFCB107",-49.2334,-63.8617,"bloom",24
"D20211221T024252_IFCB107",-49.265,-63.8612,"bloom",21
"D20211221T030717_IFCB107",-49.2942,-63.8563,"bloom",22
"D20211221T033143_IFCB107",-49.2769,-63.8942,"bloom",21
"D20211221T035609_IFCB107",-49.2605,-63.9341,"bloom",17
"D20211221T042035_IFCB107",-49.243,-63.9785,"bloom",19
"D20211221T055820_IFCB107",-49.1848,-63.9959,"bloom",18
